Company,Current_Price_INR,PE_Ratio,Market_Cap_Crore,Quarterly_Profit_Growth_Percent,Quarterly_Sales_Growth_Percent,ROCE_Percent,Expected_PE_Ratio,Cap_Category,Is_profitable
Ahm. Steelcraft,165.35,13.39,249.55,-8.02,-20.34,22.23,179.76734072624484,Micro Cap,True
AI Champ.Inds.,37.69,65.12,115.91,223.12,114.47,9.19,11.66439712800198,Micro Cap,True
AIA Engineering,4829.9,35.41,45072.81,37.88,9.44,21.09,3502.9736002320856,Large Cap,True
Aik Pipes & Poly,22.77,161.0,14.49,1085.71,-18.09,2.94,1.9203683868736874,Micro Cap,True
Aimco Pesticides,55.79,0.0,54.58,19.22,-41.91,-33.65,46.79583962422412,Micro Cap,False
Aimtron,1273.65,57.1,2624.89,77.79,75.94,27.65,716.3788739524158,Small Cap,True
Aion-Tech Soluti,51.88,0.0,271.13,-54.79,44.86,-1.71,114.75337314753372,Micro Cap,False
Airan,16.16,16.59,202.03,114.2,13.4,10.16,7.544351073762837,Micro Cap,True
Airfloa Rail,326.85,20.01,783.46,68.77,113.54,25.87,193.66593588907983,Small Cap,True
Airo Lam,95.68,26.05,143.54,-88.57,3.12,9.75,837.0953630796146,Micro Cap,True
Ajanta Pharma,3180.4,35.21,39734.53,18.4,21.47,34.51,2686.1486486486488,Large Cap,True
Ajanta Soya,21.98,21.11,176.9,-123.71,-13.25,9.57,-92.7035006326445,Micro Cap,True
Ajax Engineering,533.25,26.82,6100.74,4.41,0.25,23.86,510.72694186380613,Mid Cap,True
AJC Jewel,97.01,7.34,58.87,0.0,0.0,22.28,97.01,Micro Cap,True
Ajcon Global,6.2,164.87,37.92,35.06,489.29,3.01,4.590552347104991,Micro Cap,True
Ajmera Realty,131.47,17.27,2587.27,119.94,184.78,14.28,59.77539328907884,Small Cap,True
Ajooni Biotech,3.69,14.71,63.56,-38.31,107.11,6.49,5.981520505754579,Micro Cap,True
Ajwa Fun World,35.25,0.0,22.52,-108.11,-75.23,-0.94,-434.64858199753417,Micro Cap,False
Akanksha Power,86.25,29.12,168.88,56.96,66.86,11.0,54.95030581039756,Micro Cap,True
Akar Auto Indust,91.0,82.5,98.17,-140.32,-15.61,12.41,-225.69444444444443,Micro Cap,True
Akash InfraProj.,26.48,50.17,44.65,-59.41,85.86,3.81,65.23774328652377,Micro Cap,True
AKG Exim,10.62,93.75,33.75,-74.07,-44.55,1.99,40.95642113382181,Micro Cap,True
AKI India,4.77,25.51,49.23,16.92,52.29,4.67,4.079712624016421,Micro Cap,True
Akiko,283.0,19.88,304.78,2.6,48.11,37.12,275.82846003898635,Micro Cap,True
Akme Fintrade,10.38,10.47,442.97,62.52,45.54,13.87,6.386906226925918,Micro Cap,True
Aksh Optifibre,7.27,0.0,118.28,70.57,23.8,-6.63,4.262179750249165,Micro Cap,False
Akshar Spintex,0.44,0.0,34.65,65.79,12.49,-8.54,0.26539598286989563,Micro Cap,False
AksharChem (I),239.58,0.0,192.46,248.2,16.59,0.19,68.8052843193567,Micro Cap,False
Akums Drugs,609.35,35.71,9590.8,-39.44,9.69,14.94,1006.1922060766183,Mid Cap,True
Alacrity Sec.,68.6,51.54,320.09,-7.77,48.26,9.2,74.3792692182587,Micro Cap,True
Alan Scott Ente.,350.9,0.0,200.63,-45.45,-1.35,-14.14,643.263061411549,Micro Cap,False
Alankit,8.33,11.83,225.87,-66.59,-1.07,7.44,24.93265489374439,Micro Cap,True
Albert David,708.5,0.0,404.55,-107.45,14.65,0.77,-9510.067114093958,Micro Cap,False
Alchemist Corp.,31.95,0.0,15.69,714.29,0.0,-6.64,3.9236635596654748,Micro Cap,False
Alcokraft Dist.,72.0,8.23,73.8,0.0,0.0,0.0,72.0,Micro Cap,True
Alembic,91.54,7.41,2350.58,-1.93,-0.38,6.28,93.34149077189763,Small Cap,True
Alembic Pharma,771.5,20.79,15164.85,40.82,4.41,12.62,547.8625195284761,Mid Cap,True
Alexander Stamps,7.88,0.0,7.34,75.0,-50.0,-0.06,4.502857142857143,Micro Cap,False
Alfa Ica (I),79.0,16.8,31.92,-48.15,27.15,10.79,152.3625843780135,Micro Cap,True
Alfa Transformer,44.8,0.0,40.99,150.0,-5.28,-0.31,17.919999999999998,Micro Cap,False
Alfavision Overs,9.13,205.57,28.78,262.5,0.0,0.08,2.518620689655173,Micro Cap,True
Alfred Herbert,2850.0,6.17,219.45,7525.0,608.57,11.7,37.377049180327866,Micro Cap,True
Algoquant Fin,56.79,48.76,1596.34,1398.11,43.35,31.43,3.790776378236578,Small Cap,True
Alicon Cast.,645.05,26.99,1058.65,-15.8,16.58,10.04,766.0926365795724,Small Cap,True
Alivus Life,1108.3,23.3,13603.21,14.65,6.09,24.98,966.681203663323,Mid Cap,True
Alkali Metals,84.21,153.12,85.75,-6.51,15.52,8.69,90.07380468499304,Micro Cap,True
Alkem Lab,5425.0,26.63,64864.01,2.04,14.62,21.23,5316.542532340259,Large Cap,True
Alkosign,54.5,46.68,58.82,-180.0,-25.89,4.71,-68.125,Micro Cap,True
Alkyl Amines,1788.7,50.8,9148.52,-1.41,0.22,16.64,1814.2813672786287,Mid Cap,True
All E Tech,140.5,10.61,283.73,-37.74,-0.52,22.22,225.66655958882106,Micro Cap,True
All Time Plastic,234.52,39.56,1536.29,-2.89,-1.69,11.57,241.49933065595718,Small Cap,True
Allcargo Logist.,8.15,244.14,1220.69,-66.67,0.19,2.05,24.45244524452446,Small Cap,True
Allcargo Termi,24.21,14.44,646.54,485.92,11.89,11.64,4.131963407973784,Small Cap,True
Alldigi Tech,802.9,13.81,1223.49,64.17,5.87,30.34,489.06621185356636,Small Cap,True
Alliance Integ.,3.12,0.0,123.22,-42.8,-38.39,0.0,5.454545454545454,Micro Cap,False
Allied Blenders,622.3,75.98,17406.36,-48.05,9.37,18.38,1197.882579403272,Mid Cap,True
Allied Digital,128.25,20.18,725.49,55.32,31.03,7.32,82.57146536183363,Small Cap,True
Almondz Global,13.03,7.93,227.89,-15.77,5.76,11.74,15.469547667101981,Micro Cap,True
Alok Industries,12.83,0.0,6370.4,-14.31,3.15,-3.25,14.972575563076205,Mid Cap,False
Alpa Laboratorie,68.5,9.6,144.13,165.09,-21.34,9.42,25.840280659398694,Micro Cap,True
Alpex Solar,922.55,11.66,2356.47,50.27,105.25,43.53,613.9282624609037,Small Cap,True
Alphageo (India),198.81,0.0,126.54,18.25,-30.14,-6.96,168.12684989429175,Micro Cap,False
Alphalogic Indu,146.5,27.69,149.27,157.8,-11.81,28.55,56.826997672614425,Micro Cap,True
Alphalogic Tech.,44.97,56.42,281.56,-4.67,-12.84,12.54,47.172978076156504,Micro Cap,True
Alpine Housing,94.96,27.19,164.49,10.83,35.62,9.18,85.68077235405575,Micro Cap,True
Altius Telecom,168.48,45.99,51342.6,85.4,1.38,8.66,90.87378640776699,Large Cap,True
Alufluoride,456.2,14.2,356.77,211.33,-4.46,24.25,146.5326181222497,Micro Cap,True
Aluwind Infra,49.35,11.66,122.62,-7.0,14.66,17.63,53.06451612903226,Micro Cap,True
Amagi Media Labs,514.05,155.17,11120.9,423.21,28.51,8.0,98.24926893599128,Mid Cap,True
Amal,585.05,32.32,723.28,-71.98,94.4,26.05,2087.9728765167733,Small Cap,True
Amalgamated Elec,100.0,0.0,27.77,0.0,0.0,0.0,100.0,Micro Cap,False
Amanaya Ventures,16.0,28.48,5.98,100.0,248.75,5.54,8.0,Micro Cap,True
Amanta Healthcar,160.68,37.95,623.91,-7.21,6.84,11.63,173.16521176850955,Small Cap,True
Amara Raja Ener.,834.8,19.64,15278.96,12.37,16.34,13.46,742.9029100293673,Mid Cap,True
Amarjothi Spg.,165.55,11.74,111.75,14.67,66.28,8.64,144.37080317432634,Micro Cap,True
Amba Auto Sales,85.8,11.21,157.22,0.0,0.0,32.46,85.8,Micro Cap,True
Amba Enterprises,126.2,19.56,159.78,13.76,20.09,22.1,110.9353023909986,Micro Cap,True
Ambalal Sarabhai,31.64,13.06,242.47,13.44,1.05,11.54,27.891396332863188,Micro Cap,True
Ambani Orgochem,119.95,67.55,91.87,190.0,18.87,10.48,41.362068965517246,Micro Cap,True
Ambar Protein,184.25,15.07,105.94,-0.81,14.86,17.78,185.75461236011694,Micro Cap,True
Ambassador Intra,29.5,0.0,6.17,0.0,0.0,4.07,29.5,Micro Cap,False
Amber Enterp.,7659.0,136.42,27011.58,-19.47,10.49,10.25,9510.741338631566,Large Cap,True
Ambica Agarbat.,24.55,12.22,42.17,142.27,-28.28,8.15,10.133322326330129,Micro Cap,True
Ambika Cotton,1724.8,13.8,987.45,54.67,57.85,11.41,1115.1483804228358,Small Cap,True
Ambitious Plasto,9.8,37.93,5.69,-33.33,-20.52,67.92,14.699265036748162,Micro Cap,True
Ambo Agritec,13.83,50.83,27.45,-1333.33,1.03,5.16,-1.1213543820388705,Micro Cap,True
Ambuja Cements,423.75,21.07,105294.13,102.92,9.37,5.61,208.82613837965698,Large Cap,True
Amco India,62.86,78.3,25.84,-85.71,18.77,3.11,439.88803358992294,Micro Cap,True
AMD Industries,45.22,0.0,86.67,3150.0,20.0,1.43,1.3913846153846154,Micro Cap,False
Ameenji Rubber,133.0,23.66,150.02,0.0,0.0,19.61,133.0,Micro Cap,True
Amerise BioScie,0.82,271.0,5.42,-45.45,-57.89,0.37,1.5032080659945004,Micro Cap,True
Ameya Precision,106.0,14.22,79.5,10.16,1.68,25.31,96.2236746550472,Micro Cap,True
Amforge Inds.,7.26,0.0,10.45,-328.57,0.0,-1.12,-3.1762698516865733,Micro Cap,False
Amiable Logistic,84.95,15.47,14.85,370.0,14.46,12.81,18.074468085106382,Micro Cap,True
Amic Forging,1806.35,73.79,2086.12,23.69,30.44,23.46,1460.384833050368,Small Cap,True
Amin Tannery,1.62,79.5,17.49,-63.64,-36.28,5.28,4.455445544554455,Micro Cap,True
